,Number of Locations,min_number,max_number,mean_number,GreaterFour
0,5,1,98,59.317914762659704,1
1,3,1,94,43.47899625675863,0
2,3,1,93,28.054778156996587,0
3,2,1,99,38.97354472370114,0
4,4,1,86,50.06363636363636,1
5,4,1,98,35.39127015336217,1
6,3,1,99,34.49850746268657,0
7,3,1,96,37.44469899452717,0
8,3,1,97,53.72540511821482,0
9,2,1,96,44.07128106055559,0
10,2,1,96,47.152937146771706,0
11,2,1,97,41.162924951892236,0
12,2,1,97,44.453281798517786,0
13,2,1,96,39.70823091247672,0
14,3,1,97,47.986791375124945,0
15,2,1,99,46.601236858379714,0
16,3,1,97,46.93775318080676,0
17,3,1,97,31.103205560086522,0
18,2,1,98,35.56718828874306,0
19,2,1,96,39.05911776432636,0
20,2,1,95,37.553436630909815,0
21,3,1,10,5.75,0
22,3,1,98,46.9792371577976,0
23,5,1,95,32.899903830742105,1
24,3,1,95,45.78901734104046,0
25,3,1,96,45.856874247894105,0
26,3,1,95,27.839434328264815,0
27,2,1,94,34.231763122476444,0
28,3,1,95,31.16775281760331,0
29,4,1,92,27.745406824146983,1
30,2,1,89,29.25700719865217,0
31,2,1,94,27.702918082737607,0
32,2,1,98,47.8307025396975,0
33,2,1,97,34.285714285714285,0
34,3,1,92,36.12817480962966,0
35,2,1,96,38.26314426314426,0
36,1,1,96,38.111282957725734,0
37,5,1,97,37.38702882705771,1
38,4,1,98,30.389896613632143,1
39,3,1,95,26.751251376514166,0
40,3,1,96,30.53474511793051,0
41,3,1,92,30.86715369884389,0
42,4,1,96,35.18305084745763,1
43,4,1,99,37.19542602377807,1
44,4,1,96,42.0835016243744,1
45,3,1,93,36.55008278145695,0
46,3,1,96,43.687132119894954,0
47,4,1,93,33.14596502113468,1
48,2,1,91,28.92237218813906,0
49,3,1,96,36.33716717465064,0
50,3,1,91,25.01533494753834,0
51,4,1,95,34.30910658655986,1
52,3,1,92,22.260779066309844,0
53,3,1,95,28.287683386672583,0
54,5,1,95,24.145922746781117,1
55,4,1,96,25.71168656639272,1
56,5,1,95,28.59220300707197,1
57,3,1,93,24.641180571694168,0
58,4,1,93,26.85075376884422,1
59,3,1,95,27.752140958755785,0
60,3,1,98,32.58305453979616,0
61,4,1,93,25.606617311031897,1
62,4,1,96,31.78628605061801,1
63,2,1,88,26.88727042431919,0
64,4,1,94,25.638864014327748,1
65,3,1,97,22.245350422688848,0
66,2,1,87,27.020964951108606,0
67,3,1,94,29.87655220256677,0
68,1,4,93,41.23264,0
69,2,1,97,47.27165072274432,0
70,4,1,95,33.36644397562119,1
71,5,1,97,40.96706906558328,1
72,2,1,97,46.26939200691074,0
73,3,1,97,51.19678855484968,0
74,3,1,97,37.77300710840315,0
75,4,1,95,35.126641651031896,1
76,4,1,99,41.08469514724181,1
77,5,1,96,30.126226049270073,1
78,5,1,98,46.426534653465346,1
79,3,1,91,26.59124087591241,0
80,5,1,96,44.100617857028524,1
81,4,1,93,29.620653827600282,1
82,3,1,93,28.418796962588956,0
83,4,1,91,34.22115559434202,1
84,2,1,97,43.14130253918599,0
85,2,1,90,30.829528643944887,0
86,4,1,94,34.22064026477973,1
87,3,1,97,24.01372158462171,0
88,4,1,93,27.595867196326395,1
89,2,1,92,25.61195575777753,0
90,4,1,95,37.813501829065515,1
91,3,1,93,34.51462235061184,0
92,2,1,91,32.73043813439548,0
93,3,1,90,23.72331086821091,0
94,3,1,99,38.1323695132342,0
95,4,1,99,25.396631865858705,1
96,3,1,99,32.679376083188906,0
97,4,1,96,36.6340971883634,1
98,3,1,99,26.96969696969697,0
99,4,1,92,31.551887935630848,1
100,2,1,99,30.459407407407408,0
101,2,1,96,25.519438553973544,0
102,1,1,97,30.411113389378716,0
103,2,1,99,34.939391652200165,0
104,2,1,96,33.005081567597976,0
105,2,1,96,31.808577659316693,0
106,2,1,99,32.717476398802674,0
107,1,1,91,28.997580157289775,0
108,1,1,96,26.47244295028525,0
109,1,1,96,36.901682324666815,0
110,1,1,95,35.15632929235974,0
111,1,1,96,43.67131143656098,0
112,1,1,92,33.71277826945333,0
113,4,1,97,30.25160924867398,1
114,3,1,98,36.202292748381076,0
115,3,1,94,23.27669050307364,0
116,5,1,86,17.699155295646523,1
117,4,1,98,31.22826639552618,1
118,3,1,95,16.19663226507333,0
119,4,1,93,38.760765550239235,1
120,3,1,87,19.30767776096823,0
121,3,1,84,18.323512585812356,0
122,2,1,86,14.961640211640212,0
123,3,1,74,12.510795805058606,0
124,1,1,96,25.0264631043257,0
125,5,1,96,21.057374192887156,1
126,3,1,96,30.143922018348626,0
127,2,1,94,22.76334702258727,0
128,4,1,93,18.444296296296297,1
129,2,1,95,30.915295200828634,0
130,4,1,94,20.83448897246053,1
131,3,1,92,20.153414207766065,0
132,2,1,97,24.114998161989952,0
133,5,1,93,39.12330445039242,1
134,2,1,97,31.760294851188828,0
135,4,1,86,23.33491624484684,1
136,4,1,96,29.304998116963468,1
137,3,1,93,23.919895085350646,0
138,3,1,87,18.86950802420416,0
139,2,1,96,25.650255001961554,0
140,2,1,97,37.43237048771445,0
141,1,1,95,33.68653827542824,0
142,2,1,95,27.76100163769877,0
143,3,1,99,41.42955165972123,0
144,5,1,98,41.708686922260945,1
145,5,1,99,35.35820642978003,1
146,5,1,96,36.55723198370257,1
147,5,1,97,43.13046704315924,1
148,4,1,97,35.821089521781566,1
149,3,1,97,39.03222939747615,0
150,4,1,93,29.282193726243683,1
151,4,1,93,31.397622646695066,1
152,5,22,85,41.77239958805355,1
153,3,1,96,36.15397905759162,0
154,5,1,92,35.359056122448976,1
155,5,1,93,31.96569276188537,1
156,3,1,94,20.815341383762437,0
157,5,1,98,42.44643088482964,1
158,2,1,95,28.389270071144644,0
159,3,1,95,26.073312060763854,0
160,4,1,98,32.29381248106635,1
161,4,1,99,26.50478802528821,1
162,2,1,95,21.120990142818513,0
